Tipo	Tipo_Categ	Secuencia_tipos	Secuencia_intra	Sexo	Grupo_Etario	Solo_Hijos	Pregunta	Awajun
FILIACIÓN	ND	1	1	H	Adulto	No	Buenas noches señor	 Pegkeg kiyaje apaju
FILIACIÓN	ND	1	1	M	Adulto	No	Buenas noches señora	 Pegkeg kiyaje dukuju
FILIACIÓN	ND	1	1	H	Joven	No	Buenas noches joven	 Pegkeg kiyaje datsa
FILIACIÓN	ND	1	1	M	Joven	No	Buenas noches señorita	 Pegkeg kiyaje mugtsugta
FILIACIÓN	ND	1	2	ND	ND	No	¿Cómo estás?	Wajuk pujame?
FILIACIÓN	ND	1	3	ND	ND	No	¿Cómo te llamas?	Yaita dagmesh
FILIACIÓN	ND	1	4	ND	ND	No	¿Cuántos años tienes?	¿Mijanjumesh wajupa ajutjamua?
FILIACIÓN	ND	1	5	ND	ND	No	¿De dónde eres?	Tuwiyampaitpa
INTERROGATORIO	ND	2	1	H	Adulto	No	¿Tienes esposa?	Nuwemesh ajutjamuak
INTERROGATORIO	ND	2	1	H	Joven	No	¿Tienes esposa?	Nuwemesh ajutjamuak
INTERROGATORIO	ND	2	1	M	Adulto	No	¿Tienes esposo?	Aishumesh ajutjamuak
INTERROGATORIO	ND	2	1	M	Joven	No	¿Tienes esposo?	Aishumesh ajutjamuak
INTERROGATORIO	ND	2	2	ND	Adulto	No	¿Tienes hijos?	Uchigmesh ajutjamuak
INTERROGATORIO	ND	2	3	ND	ND	Sí	¿Cuántos hombres?	Wajupaita aishmagkush
INTERROGATORIO	ND	2	3	ND	ND	Sí	¿Cuántas mujeres?	Wajupaita nuwash
INTERROGATORIO	ND	2	4	ND	ND	Sí	¿Cuántos hijos muertos?	¿Wajupa uchigmesh jakaush ajutjamua?
INTERROGATORIO	ND	2	5	ND	ND	Sí	¿De qué?	¿Wajiyaiya?
INTERROGATORIO	ND	2	6	H	Adulto	No	¿Por qué ha venido señor?	¿Wagka taume apaju?
INTERROGATORIO	ND	2	6	M	Adulto	No	¿Por qué ha venido señora?	¿Wagka taume dukuju?
INTERROGATORIO	ND	2	6	H	Joven	No	¿Por qué ha venido joven?	¿Wagka taume datsa?
INTERROGATORIO	ND	2	6	M	Joven	No	¿Por qué ha venido señorita?	¿Wagka taume mugtsugta?
INTERROGATORIO	ND	2	7	ND	ND	No	¿Qué es lo que le molesta o por qué viene?	¿Waji waitkapawa atsa wagka taume?
INTERROGATORIO	ND	2	8	ND	ND	No	¿Desde cuándo está enfermo?	¿Wajuti nagkamsamea jaame?
INTERROGATORIO	ND	2	9	ND	ND	Sí	¿Qué enfermedad tiene tu hijo?	¿Waji jata ajawa uchigminash?
INTERROGATORIO	ND	2	10	ND	ND	No	¿Cómo le comenzó?	¿Wajuk nagkamnauwaita?
